Pais,Equipe,PastaColecao,Arquivo,CaminhoRelativo,Extensao,TamanhoBytes
brasil,atletico,atlet_1976.jpg,atlet_1976.jpg,camisas/brasil/atletico/atlet_1976.jpg,.jpg,126644
brasil,atletico,atlet_1979.jpg,atlet_1979.jpg,camisas/brasil/atletico/atlet_1979.jpg,.jpg,98727
brasil,atletico,atlet_2008.jpg,atlet_2008.jpg,camisas/brasil/atletico/atlet_2008.jpg,.jpg,51973
brasil,atletico,atl_08.jpg,atl_08.jpg,camisas/brasil/atletico/atl_08.jpg,.jpg,51128
brasil,atletico,atl_1976.jpg,atl_1976.jpg,camisas/brasil/atletico/atl_1976.jpg,.jpg,37508
brasil,atletico,atl_97-(1).jpg,atl_97-(1).jpg,camisas/brasil/atletico/atl_97-(1).jpg,.jpg,35698
brasil,atletico,atl_97_(1).jpg,atl_97_(1).jpg,camisas/brasil/atletico/atl_97_(1).jpg,.jpg,33049
brasil,atletico,atl_97_(2).jpg,atl_97_(2).jpg,camisas/brasil/atletico/atl_97_(2).jpg,.jpg,33512
brasil,atletico,atl_m.g..jpg,atl_m.g..jpg,camisas/brasil/atletico/atl_m.g..jpg,.jpg,21553
brasil,atletico,atl_m.g._(1).jpg,atl_m.g._(1).jpg,camisas/brasil/atletico/atl_m.g._(1).jpg,.jpg,19962
brasil,atletico,atl_m.g._(2).jpg,atl_m.g._(2).jpg,camisas/brasil/atletico/atl_m.g._(2).jpg,.jpg,20576
brasil,atletico,atlético+mineiro+1968[1].jpg,atlético+mineiro+1968[1].jpg,camisas/brasil/atletico/atlético+mineiro+1968[1].jpg,.jpg,130135
brasil,atletico,br_015.jpg,br_015.jpg,camisas/brasil/atletico/br_015.jpg,.jpg,25464
brasil,atletico,br_016.jpg,br_016.jpg,camisas/brasil/atletico/br_016.jpg,.jpg,25979
brasil,atletico,c49de1e9-b1aa-45bc-a32d-d127ba810b99[1].jpg,c49de1e9-b1aa-45bc-a32d-d127ba810b99[1].jpg,camisas/brasil/atletico/c49de1e9-b1aa-45bc-a32d-d127ba810b99[1].jpg,.jpg,25084
brasil,atletico,chi-cao.jpg,chi-cao.jpg,camisas/brasil/atletico/chi-cao.jpg,.jpg,39226
brasil,atletico,chicao.jpg,chicao.jpg,camisas/brasil/atletico/chicao.jpg,.jpg,25084
brasil,atletico,chicao_1979.jpg,chicao_1979.jpg,camisas/brasil/atletico/chicao_1979.jpg,.jpg,55871
brasil,atletico,coppa012.jpg,coppa012.jpg,camisas/brasil/atletico/coppa012.jpg,.jpg,32213
brasil,atletico,coppa013.jpg,coppa013.jpg,camisas/brasil/atletico/coppa013.jpg,.jpg,34331
brasil,atletico,digitalizar0001_-_copia.jpg,digitalizar0001_-_copia.jpg,camisas/brasil/atletico/digitalizar0001_-_copia.jpg,.jpg,55275
brasil,atletico,eder.jpg,eder.jpg,camisas/brasil/atletico/eder.jpg,.jpg,49755
brasil,atletico,eder_1980.jpg,eder_1980.jpg,camisas/brasil/atletico/eder_1980.jpg,.jpg,37865
brasil,atletico,foto 017.jpg,foto 017.jpg,camisas/brasil/atletico/foto 017.jpg,.jpg,30673
brasil,atletico,foto 018.jpg,foto 018.jpg,camisas/brasil/atletico/foto 018.jpg,.jpg,31850
brasil,atletico,galo--2012--(3).jpg,galo--2012--(3).jpg,camisas/brasil/atletico/galo--2012--(3).jpg,.jpg,55263
brasil,atletico,galo--2012--_(1).jpg,galo--2012--_(1).jpg,camisas/brasil/atletico/galo--2012--_(1).jpg,.jpg,84607
brasil,atletico,galo--2012--_(2).jpg,galo--2012--_(2).jpg,camisas/brasil/atletico/galo--2012--_(2).jpg,.jpg,82620
brasil,atletico,galo.jpg,galo.jpg,camisas/brasil/atletico/galo.jpg,.jpg,19995
brasil,atletico,galo041.jpg,galo041.jpg,camisas/brasil/atletico/galo041.jpg,.jpg,28584
brasil,atletico,galo043.jpg,galo043.jpg,camisas/brasil/atletico/galo043.jpg,.jpg,29707
brasil,atletico,galo045.jpg,galo045.jpg,camisas/brasil/atletico/galo045.jpg,.jpg,29621
brasil,atletico,galo046.jpg,galo046.jpg,camisas/brasil/atletico/galo046.jpg,.jpg,28650
