CaminhoRelativo,Motivo,TamanhoBytes
webalizer/ctry_usage_200909.png,technical-root,4353
webalizer/ctry_usage_200910.png,technical-root,4371
webalizer/ctry_usage_200911.png,technical-root,4431
webalizer/ctry_usage_200912.png,technical-root,4107
webalizer/ctry_usage_201001.png,technical-root,4363
webalizer/ctry_usage_201002.png,technical-root,4506
webalizer/ctry_usage_201003.png,technical-root,4806
webalizer/ctry_usage_201004.png,technical-root,4861
webalizer/ctry_usage_201005.png,technical-root,4794
webalizer/ctry_usage_201006.png,technical-root,4964
webalizer/ctry_usage_201007.png,technical-root,4719
webalizer/ctry_usage_201008.png,technical-root,4246
webalizer/ctry_usage_201009.png,technical-root,4598
webalizer/ctry_usage_201010.png,technical-root,4768
webalizer/ctry_usage_201011.png,technical-root,4096
webalizer/ctry_usage_201012.png,technical-root,4726
webalizer/ctry_usage_201101.png,technical-root,4684
webalizer/ctry_usage_201102.png,technical-root,5004
webalizer/ctry_usage_201103.png,technical-root,4201
webalizer/ctry_usage_201104.png,technical-root,5300
webalizer/ctry_usage_201105.png,technical-root,4410
webalizer/ctry_usage_201106.png,technical-root,4943
webalizer/ctry_usage_201107.png,technical-root,4705
webalizer/ctry_usage_201108.png,technical-root,5084
webalizer/ctry_usage_201109.png,technical-root,4687
webalizer/ctry_usage_201110.png,technical-root,4659
webalizer/ctry_usage_201111.png,technical-root,4683
webalizer/ctry_usage_201112.png,technical-root,4888
webalizer/ctry_usage_201201.png,technical-root,4938
webalizer/ctry_usage_201202.png,technical-root,4618
webalizer/ctry_usage_201203.png,technical-root,4497
webalizer/ctry_usage_201204.png,technical-root,4793
webalizer/ctry_usage_201205.png,technical-root,4400
webalizer/ctry_usage_201206.png,technical-root,5262
webalizer/ctry_usage_201207.png,technical-root,5544
webalizer/ctry_usage_201208.png,technical-root,5219
webalizer/ctry_usage_201209.png,technical-root,5609
webalizer/ctry_usage_201210.png,technical-root,5167
webalizer/ctry_usage_201211.png,technical-root,4962
webalizer/ctry_usage_201212.png,technical-root,4790
webalizer/ctry_usage_201301.png,technical-root,4827
webalizer/ctry_usage_201302.png,technical-root,4909
webalizer/ctry_usage_201303.png,technical-root,5406
webalizer/ctry_usage_201304.png,technical-root,4918
webalizer/ctry_usage_201305.png,technical-root,4959
webalizer/ctry_usage_201306.png,technical-root,5100
webalizer/ctry_usage_201307.png,technical-root,5032
webalizer/ctry_usage_201308.png,technical-root,5380
webalizer/ctry_usage_201309.png,technical-root,5308
