item_id,identity,team_path,collection_before,collection_target,stable_key,item_slug,public_slug,route_before,route_target_provisional,reason,authorization_class
42540,paises/brasil/atletico/2015.htm#editorial:hx001:table-183:description-table-192,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:59a8232818e2f1471f7e903bf331f264abba61cf1933c96cfd2285cec49ee6e8,2015,2015-a32173,/items/brasil/teams/atletico/collections/04-15/2015-a32173,/items/brasil/teams/atletico/collections/03-16/2015-a32173,unique record references,ET028_EXCLUSIVE
42541,paises/brasil/atletico/2015.htm#editorial:hx001:table-208:description-table-217,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:70141d5cb7d0a332408c9a34ed0e5012e68a1610c79cb51937f7d7ea0a3e0aac,2015,2015-a7139b,/items/brasil/teams/atletico/collections/04-15/2015-a7139b,/items/brasil/teams/atletico/collections/03-16/2015-a7139b,unique record references,ET028_EXCLUSIVE
42542,paises/brasil/atletico/2015.htm#editorial:hx001:table-233:description-table-242,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/06_16,item:1c2829d3761834f9f3b8c68c7af5793107a00846fee1cd3fa8fd4d4b7c0b0f43,2015,2015-3702bf,/items/brasil/teams/atletico/collections/04-15/2015-3702bf,/items/brasil/teams/atletico/collections/06-16/2015-3702bf,unique record references,ET028_EXCLUSIVE
42543,paises/brasil/atletico/2015.htm#editorial:hx001:table-258:description-table-267,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/06_16,item:b4ee5c87ada853a75b053bca143fe9f4576d3f609d1129109e6ee195f092b669,2015,2015-02bc13,/items/brasil/teams/atletico/collections/04-15/2015-02bc13,/items/brasil/teams/atletico/collections/06-16/2015-02bc13,unique record references,ET028_EXCLUSIVE
42544,paises/brasil/atletico/2015.htm#editorial:hx001:table-283:description-table-292,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/06_16,item:9aee98b3831670e09821f03d36cb2b8c4a79ea7c43f3b12d49c45d00207e46be,2015,2015-9a7da0,/items/brasil/teams/atletico/collections/04-15/2015-9a7da0,/items/brasil/teams/atletico/collections/06-16/2015-9a7da0,unique record references,ET028_EXCLUSIVE
42547,paises/brasil/atletico/2015.htm#editorial:hx001:table-360:description-table-369,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:d5968a393a8685f73f2bdf61bf373015034178a3c8f7a91fb1718893ecec14e2,2015,2015-9d5d99,/items/brasil/teams/atletico/collections/04-15/2015-9d5d99,/items/brasil/teams/atletico/collections/03-16/2015-9d5d99,unique record references,ET028_EXCLUSIVE
42548,paises/brasil/atletico/2015.htm#editorial:hx001:table-386:description-table-395,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:5b73ceef2e618b338a3aa08cdc1bcc074c98f2ae1a8f6a48c54297d5bccd2d09,2015,2015-61d854,/items/brasil/teams/atletico/collections/04-15/2015-61d854,/items/brasil/teams/atletico/collections/03-16/2015-61d854,unique record references,ET028_EXCLUSIVE
42549,paises/brasil/atletico/2015.htm#editorial:hx001:table-412:description-table-421,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:28127e57ea8d36c719f5b5557fcb0b9467dbf0fba51b44e1e5b5be53bc3e23e4,2015,2015-41c4c9,/items/brasil/teams/atletico/collections/04-15/2015-41c4c9,/items/brasil/teams/atletico/collections/03-16/2015-41c4c9,unique record references,ET028_EXCLUSIVE
42550,paises/brasil/atletico/2015.htm#editorial:hx001:table-438:description-table-447,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:25caac4cc18b9c31de49171f2258cc66115b95c7f620b9d55f300668b0829d4f,2015,2015-25b390,/items/brasil/teams/atletico/collections/04-15/2015-25b390,/items/brasil/teams/atletico/collections/03-16/2015-25b390,unique record references,ET028_EXCLUSIVE
42551,paises/brasil/atletico/2015.htm#editorial:hx001:table-463:description-table-472,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:656e3dad7882561cd985a787c22981c3c6234fdff963b54941907c44399c2886,2015,2015-a57db3,/items/brasil/teams/atletico/collections/04-15/2015-a57db3,/items/brasil/teams/atletico/collections/03-16/2015-a57db3,unique record references,ET028_EXCLUSIVE
